major_city,state,income_disparity,isp,pct_slow_lower_income,pct_slow_upper_income,income_pct_pt_diff,uniform_speed,flag_income,race_disparity,pct_slow_least_white,pct_slow_most_white,race_pct_pt_diff,flag_race,redlining_disparity,pct_slow_d_rated,pct_slow_ab_rated,redlining_pct_pt_diff,flag_redlining
Little Rock,AR,False,EarthLink,0.1949,0.1739,0.02099999999999999,False,,False,0.1489,0.156,-0.007099999999999995,,,,,,small bin
Los Angeles,CA,True,EarthLink,0.478,0.264,0.21399999999999997,False,,False,0.2699,0.3141,-0.04420000000000002,,True,0.3351,0.255,0.0801,
Louisville,KY,True,EarthLink,0.3365,0.0721,0.2644,False,,True,0.2811,0.0656,0.21550000000000002,,True,0.3552,0.0836,0.2716,
Milwaukee,WI,True,EarthLink,0.2093,0.0789,0.13040000000000002,False,,False,0.1402,0.1257,0.014499999999999985,,True,0.1992,0.0439,0.1553,
Nashville,TN,False,EarthLink,0.246,0.2437,0.0022999999999999965,False,,False,0.168,0.2082,-0.040199999999999986,,False,0.1873,0.2716,-0.08430000000000001,
New Orleans,LA,True,EarthLink,0.8068,0.4308,0.37599999999999995,False,,True,0.7713,0.486,0.2853,,True,0.7956,0.5439,0.2516999999999999,
Oklahoma City,OK,True,EarthLink,0.4263,0.1952,0.2311,False,,True,0.4448,0.2128,0.23199999999999998,,,,,,not HOLC graded
Omaha,NE,False,EarthLink,1.0,1.0,0.0,True,,False,1.0,1.0,0.0,,,,,,small bin
Phoenix,AZ,False,EarthLink,1.0,1.0,0.0,True,,False,1.0,1.0,0.0,,,,,,not HOLC graded
Portland,OR,False,EarthLink,1.0,1.0,0.0,True,,False,1.0,1.0,0.0,,False,1.0,1.0,0.0,
Salt Lake City,UT,False,EarthLink,1.0,1.0,0.0,True,,False,1.0,1.0,0.0,,False,1.0,1.0,0.0,
Seattle,WA,False,EarthLink,1.0,1.0,0.0,True,,False,1.0,1.0,0.0,,False,1.0,1.0,0.0,
Sioux Falls,SD,False,EarthLink,1.0,1.0,0.0,True,,False,1.0,1.0,0.0,,,,,,not HOLC graded
Wichita,KS,True,EarthLink,0.2609,0.1713,0.08960000000000001,False,,False,0.2062,0.1835,0.022699999999999998,,True,0.17,0.05,0.12000000000000001,
