,coef,odds_ratio,pvalue,pr_sq,N,major_city,state,isp,model,intercept,probability_treatment,probability_exposure,odds_directional,is_coef_positive,probability_delta,perc_probability
"C(income_level, Treatment('Upper Income'))[T.Low]",0.6597760050699686,1.9343589992627108,8.321160208089857e-11,0.04375939162115694,8245,Nashville,TN,EarthLink,income_level_minus_n_providers ,-1.4930661600489237,0.18346195952422184,0.302949833983306,1.9343589992627108,True,0.11948787445908415,1.6512950955552645
"C(income_level, Treatment('Upper Income'))[T.Middle-Lower]",0.3640868480376995,1.4391992003569742,4.437497119661919e-06,0.04375939162115694,8245,Nashville,TN,EarthLink,income_level_minus_n_providers ,-1.4930661600489237,0.18346195952422184,0.2443495144423468,1.4391992003569742,True,0.06088755491812495,1.3318810890062807
"C(income_level, Treatment('Upper Income'))[T.Middle-Upper]",-0.19478314129318966,0.823013116265292,0.016216079134216552,0.04375939162115694,8245,Nashville,TN,EarthLink,income_level_minus_n_providers ,-1.4930661600489237,0.18346195952422184,0.15605888735584855,-0.823013116265292,False,-0.027403072168373288,0.8506334924175093
ppl_per_sq_mile_standard,0.31966860168477307,1.3766714621280716,3.4570991591721793e-31,0.04375939162115694,8245,Nashville,TN,EarthLink,income_level_minus_n_providers ,-1.4930661600489237,0.18346195952422184,0.23624140878565866,1.3766714621280716,True,0.05277944926143682,1.287686065265582
internet_perc_broadband,0.5487161215004089,1.7310291594708682,1.6185651595709286e-38,0.04375939162115694,8245,Nashville,TN,EarthLink,income_level_minus_n_providers ,-1.4930661600489237,0.18346195952422184,0.28002249312301586,1.7310291594708682,True,0.09656053359879402,1.5263245516902129
"C(income_level, Treatment('Upper Income'))[T.Low]",-0.1924627129462876,0.8249250766557957,0.013836676991279289,0.024477865814379274,8245,Nashville,TN,EarthLink,income_level_minus_internet_perc_broadband,-1.53185532286531,0.17772239206601445,0.15131580907316083,-0.8249250766557957,False,-0.026406582992853617,0.8514166803300455
"C(income_level, Treatment('Upper Income'))[T.Middle-Lower]",0.09710588857213051,1.1019770542201226,0.20106671775093998,0.024477865814379274,8245,Nashville,TN,EarthLink,income_level_minus_internet_perc_broadband,-1.53185532286531,0.17772239206601445,0.19235974583186474,1.1019770542201226,True,0.014637353765850292,1.0823607739896575
"C(income_level, Treatment('Upper Income'))[T.Middle-Upper]",-0.33491822358100803,0.7153965865315653,2.7947082651624164e-05,0.024477865814379274,8245,Nashville,TN,EarthLink,income_level_minus_internet_perc_broadband,-1.53185532286531,0.17772239206601445,0.13391549169424727,-0.7153965865315653,False,-0.04380690037176718,0.7535093925840519
ppl_per_sq_mile_standard,0.29352131483503785,1.3411417653210127,4.1899167857048445e-25,0.024477865814379274,8245,Nashville,TN,EarthLink,income_level_minus_internet_perc_broadband,-1.53185532286531,0.17772239206601445,0.22472610887167668,1.3411417653210127,True,0.04700371680566223,1.2644783038268068
n_providers,0.3293996305210572,1.3901332842858267,4.6178498487702625e-07,0.024477865814379274,8245,Nashville,TN,EarthLink,income_level_minus_internet_perc_broadband,-1.53185532286531,0.17772239206601445,0.23103865058218082,1.3901332842858267,True,0.053316258516166365,1.2999974167372348
"C(race_quantile, Treatment('most white'))[T.more white]",0.3750218838730169,1.4550232558139626,2.91134614335964e-07,0.009293361307600612,8245,Nashville,TN,EarthLink,race_quantile_alone,-1.335612874643751,0.20823244552058023,0.27675988428158166,1.4550232558139626,True,0.06852743876100142,1.3290910721894618
"C(race_quantile, Treatment('most white'))[T.less white]",0.24464880681389792,1.2771727000848165,0.0009520445736669706,0.009293361307600612,8245,Nashville,TN,EarthLink,race_quantile_alone,-1.335612874643751,0.20823244552058023,0.25143678160919536,1.2771727000848165,True,0.043204336088615125,1.2074812884255595
"C(race_quantile, Treatment('most white'))[T.least white]",-0.2643406750533398,0.7677119547903691,0.00102662088077936,0.009293361307600612,8245,Nashville,TN,EarthLink,race_quantile_alone,-1.335612874643751,0.20823244552058023,0.16798810703666997,-0.7677119547903691,False,-0.040244338483910264,0.8067335837923836
"C(race_quantile, Treatment('most white'))[T.more white]",0.35295979062536276,1.4232739133290238,3.160003074925404e-06,0.03601677435267181,8245,Nashville,TN,EarthLink,race_quantile_controls,-1.7405548145754393,0.14924247648070518,0.19979197514755495,1.4232739133290238,True,0.05054949866684977,1.338707182156583
"C(race_quantile, Treatment('most white'))[T.less white]",0.3694683884696603,1.446965186785784,1.969464050057306e-06,0.03601677435267181,8245,Nashville,TN,EarthLink,race_quantile_controls,-1.7405548145754393,0.14924247648070518,0.20244437465821535,1.446965186785784,True,0.05320189817751017,1.3564795990529437
"C(race_quantile, Treatment('most white'))[T.least white]",-0.11842039276015064,0.8883225297467795,0.2625158236558848,0.03601677435267181,8245,Nashville,TN,EarthLink,race_quantile_controls,-1.7405548145754393,0.14924247648070518,0.13482254460066745,-0.8883225297467795,False,-0.014419931880037734,0.9033791704608841
ppl_per_sq_mile_standard,0.3291658041465586,1.3898082724595415,4.7656302336830794e-33,0.03601677435267181,8245,Nashville,TN,EarthLink,race_quantile_controls,-1.7405548145754393,0.14924247648070518,0.19601506539251448,1.3898082724595415,True,0.0467725889118093,1.3133999784428416
n_providers,0.24699600638890393,1.280174000250969,0.00012187942156105008,0.03601677435267181,8245,Nashville,TN,EarthLink,race_quantile_controls,-1.7405548145754393,0.14924247648070518,0.1833881705340012,1.280174000250969,True,0.03414569405329601,1.228793402913751
internet_perc_broadband,0.2319070583833762,1.2610025237686742,1.160969930234689e-09,0.03601677435267181,8245,Nashville,TN,EarthLink,race_quantile_controls,-1.7405548145754393,0.14924247648070518,0.18113928208194796,1.2610025237686742,True,0.03189680560124278,1.21372471399164
